UNIX TIME,LATITUDE,LONGITUDE,ALTITUDE
1548967838.0,40.00806,-79.37806,340.00
1548967851.0,40.00806,-79.40472,339.00
1548967863.0,40.00889,-79.43222,339.00
1548967876.0,40.00917,-79.45944,339.00
1548967888.0,40.01000,-79.48611,339.00
1548967901.0,40.01111,-79.51306,339.00
1548967913.0,40.01083,-79.53972,340.00
1548967926.0,40.01139,-79.56583,340.00
1548967938.0,40.01194,-79.59333,340.00
1548967950.0,40.01194,-79.62056,340.00
1548967963.0,40.01250,-79.64778,340.00
1548967975.0,40.01306,-79.67389,339.00
1548967988.0,40.01333,-79.70083,339.00
1548968000.0,40.01444,-79.75500,339.00
1548968013.0,40.01500,-79.78222,340.00
1548968025.0,40.01528,-79.80944,339.00
1548968037.0,40.01611,-79.83639,339.00
1548968050.0,40.01611,-79.86333,339.00
1548968062.0,40.01694,-79.89028,340.00
1548968075.0,40.01694,-79.91694,340.00

